Name,Pillar,Status,Publication Date,Format,Inspo,Intensity,Funnel,New Followers,Total views,Views follower %,Views non-follower %,Platform,Link to post,7x7 Creator,CTA,Duration,Media reqd,Hook,QA'd,Script & Caption,Skip rate,Avg watch time (s),Notes,Likes,Comments,Music,Shares
Don’t ask me if you should sell your tickets,Lifestyle,Live,"March 13, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),https://www.instagram.com/reel/DRdhb1tDu_v/?igsh=dGJ1dnV4eGJpbDF3,Low,Attract,0,1946,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DVxHM1ajpV4/?igsh=ejBiZ3U4b2VhY3U3,,,6,Concert b roll,Don’t ask me if you should sell your concert tickets. I’ve went through customs twice for a concert.,No,,32.35%,5.68,,24,1,The Hell Song by Sum 41,0
"Smart people stay invisible online for a reason. They were trained to perform, not to be seen.",Mindset,Trial,"March 12, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),https://www.instagram.com/reel/DVu4StiFNeY/?igsh=MTFtb2xib3F2anBubA==,Low,Attract,0,267,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DV0xpnrjvK-/?igsh=YTQ5ODkwcTlleHlv,,Curious if you’ve felt this too.,3,b roll - me working,"Smart people stay invisible online for a reason. They were trained to perform, not to be seen.",No,"Caption - The smartest people I know struggle the most with visibility.

School trained us to perform.
The internet rewards expression.

Most people were never taught the second skill.

Curious if you’ve felt this too.",23.81%,4.88,low skip rate  - could be something here,1,0,the deliverables have assets audio - marlosdayinthelife original audio  https://www.instagram.com/reels/audio/26422161677414171?igsh=cjQwMWdzazdqdjlk,0
Morning sounds when you work in America 🇺🇸,Lifestyle,Trial,"March 12, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),https://www.instagram.com/reel/DVu4StiFNeY/?igsh=MTFtb2xib3F2anBubA==,Low,Attract,0,371,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DVzuZH3Drtj/?igsh=Y3VsM3F3d2cwZWI5,,,3,b roll - me working,Morning sounds when you work in America 🇺🇸,No,,33.33%,5.26,retiring this approach to the hook - consistently didn’t work,0,0,the deliverables have assets audio - marlosdayinthelife original audio  https://www.instagram.com/reels/audio/26422161677414171?igsh=cjQwMWdzazdqdjlk,0
I know where I’ll be if America gets bombed,Mindset,Trial,"March 12, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),https://www.instagram.com/reel/DVu4StiFNeY/?igsh=MTFtb2xib3F2anBubA==,Low,Attract,0,564,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DVzpJYLEVNb/?igsh=MTcycWVyZjhoMmQ4bQ==,,,3,b roll - me working,I know where I’ll be if America gets bombed,No,,27.74%,5.34,,0,0,the deliverables have assets audio - marlosdayinthelife original audio  https://www.instagram.com/reels/audio/26422161677414171?igsh=cjQwMWdzazdqdjlk,0
*war in the Middle East* Meanwhile in America:,Mindset,Trial,"March 12, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),https://www.instagram.com/reel/DVu4StiFNeY/?igsh=MTFtb2xib3F2anBubA==,Low,Attract,0,389,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DVzmHifkfDt/?igsh=MTc0MW5uaXJucWp2eA==,,,3,b roll - me working,*war in the Middle East* Meanwhile in America:,No,,33.33%,4.54,,0,0,the deliverables have assets audio - marlosdayinthelife original audio  https://www.instagram.com/reels/audio/26422161677414171?igsh=cjQwMWdzazdqdjlk,0
NON NEGOTIABLES,Lifestyle,Trial,"March 12, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),https://www.instagram.com/reel/DPUIqFIAKa2/?igsh=MXRkcmkycWd0ejJqcA==,Low,Attract,0,8486,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DVxYJ4kDrdT/?igsh=MXM5ZG1kN3VlMXZtZQ==,,Follow for more relatable moments.,9,"B roll - concerts, traveling, desk work","NON NEGOTIABLES
MUSIC FESTIVALS 
(-$600)",No,"Financially questionable.
Emotionally priceless.
Follow for more relatable moments.",32.77%,6.45,had repeatable success; engagement centered around Tom Delonge. Metrics surpassed the inspo,31,0,https://www.instagram.com/reels/audio/1350059459842805?igsh=bnZiNm1ubjE0cXc2 Dudeitspink original audio,2
9-5 me: “a small creator” I wish I could create content full time (200 views),Skills,Trial,"March 12, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),https://www.notion.so/UNFORTUNATELY-I-DO-LOVE-32c5e3769cad8028b2d1f02ca4354590?v=2f35e3769cad81e19a0e000c9bff5ca1&source=copy_link,Low,Nurture,0,244,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DVxVs3TjnSA/?igsh=MTFjcWlvNTd6OWd5ZA==,,,6,"b roll of me at my desk, talking into the camera, etc",9-5 me: “a small creator” I wish I could create content full time  (200 views),No,Does it ever really get better asking for a friend lol,40.34%,4.93,"too much text, pacing is off",0,0,Dudeitspink original audio https://www.instagram.com/reels/audio/1350059459842805?igsh=bnZiNm1ubjE0cXc2,0
Digital nomad journey (Skyfall inspired),Lifestyle,Live,"March 12, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),https://www.instagram.com/reel/DUyX45cEv4E/?igsh=MXFtZ254MXg2b3ppdA==,High,Attract,3,1992,8.3%,91.7%,Instagram,https://www.instagram.com/reel/DVhOJngD2Ub/?igsh=a3lhN3NhM25yeW5w,,Follow to see where I go next ✈️ ,56,younger self footage & travel b roll,2008 - travel was never part of our family,Yes,"Caption - For a long time, my career was my whole identity.

I worked constantly and barely took time off.

Then life forced me to slow down… and I started traveling alone.

It changed how I see the world — and myself.

Now I’m exploring the world one trip at a time.

Follow to see where I go next ✈️",33.31%,19.95,,65,3,Breakaway - Kelly Clarkson,0
Me Facetiming my boyfriend to rant,Passion,Trial,"March 11, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Nurture,0,640,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DVw8cpgEZge/?igsh=Mm45NHdrM292a2py,,,3,b roll of me speaking - perhaps not convincing enough to be a rant,Me Facetiming my boyfriend to rant,No,caption - “you’re not going to believe what she did..”,62.96%,2.87,reach was higher than the previous - worth exploring further - everyone loves the tea,1,0,Ring my Bell by Anita Ward (trending),0
"Respectfully, I am in my 30s so I will protect my energy at all costs ✌️",Mindset,Trial,"March 11, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Nurture,0,442,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DVw73b7EWu4/?igsh=ZWR0ejY3d3diNXN3,,,3,b roll of me talking with my hands in my car,"Respectfully, I am in my 30s so I will protect my energy at all costs ✌️",No,caption - We’re tired,41.24%,3.7,,0,0,Ring my Bell by Anita Ward (trending at the time),0
