Creator,Follower Count,Reel link,Views,# Shares ,"spoken: 

text: 

visual: ",Format,Intensity,Duration (sec),Audio,Funnel,CTA,Notes,Pillar,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27
"natalie.hoffie

https://www.instagram.com/natalie.hoffie/reels/

Bio: 
✨ community of overthinking millennials ✨
🫂 from 0 to 2,000 in 7 days because of your support",6017,https://www.instagram.com/natalie.hoffie/reel/DThnvPiCLyy/,1.4M,53.1K,"spoken: ""I'm running out of time i should settle down and have kids"" 

text: POV: GIRLIE IN HER 30S RUNNING OUT OF TIME

visual: her nodding with a blank look, obsessively swirling her coffee",Voiceover,medium intensity,30,no backing audio,Nurture,n/a,"- ""i should travel before i have kids"" ""but i need to save for a house""  ""soon it will be too late to have kids"" ""maybe i dont even want them""
- captions have the white stroke behind them to ensure they're clearly readable
- captions stay in the same place the whole time, in a location that doesn't obstruct her face
- any pauses have been edited out for continuous flow
- voiceover adds to key messaging -> ""overthinking""

- comments:
""It’s better to regret not having kids than to regret having kids""
2.7k likes

""Me to ChatGPT at 3am 😂""
1043  likes

""We might be from different countries, culture, environment, backgrounds... But still have the same thoughts and anxieties. It's weird if you think about it, but still so comforting cause we're not alone and we're all connected in someway ❤️""
131 likes",Passions,,,,,,,,,,,,,
,,https://www.instagram.com/natalie.hoffie/reel/DTAvBzAiLJR/,284K,550,"spoken: ""I'm 30 years old and i'm freaking out""

text: captioned voiceover - ""I'm 30 years old and I'm freaking out""

visual: big mic / candy cane / complementary colors
overlay of screenshotted account growth",Talking head,medium intensity,80,What was I made for?,Nurture,,"- Caption: Who else feels nervous about talking to the camera, especially in a language that is not their mother tongue?
-- she uses language as leverage for her uniqueness, pairs it with highly relatable pain point ""who feels nervous about talking to camera""
- the comments on this one also offer valuable data

""I feel so connected to you...this year I decided to start a YouTube channel after wanting to for 14 years and being afraid...I'm tired of being afraid of other people's opinions. Recording the first videos is proving to be a challenge, but I'm going to make it 💪🏻""
29 likes

apparently someone stole this video from her, her comment: Thanks, I saw it. I think to take ideas from others is okay. But stealing authentic video word by word is cringe
-- tbh, could be a talking head video on it own

CONTRARIAN VIEW IDEA:
WHY count down to 30? why is 30 the milestone? start any time, even if your countdown is to 33",Passions,,,,,,,,,,,,,
,,https://www.instagram.com/natalie.hoffie/reel/DTZ4Y-nCNgG/,71.2K,411,"spoken: same as captioned text

text: ""I'm experiencing the biggest burnout in my career. i'm 30 years old and work in finance for the last 10 years..""

visual: just mic - talking head video
thumbnail: BURNOUT",Talking head,medium intensity,96,What Was I Made For? (from Barbie),Nurture,,,Skill,,,,,,,,,,,,,
,,https://www.instagram.com/natalie.hoffie/reel/DTQb628iD9L/,64.5K,93,"spoken: non talking

text: (brain emoji): don't post your videos no one will watch them

visual: her looking apprehensive, paranoid, looking back and forth- driving in her car",Silent film / B-roll ,low intensity,12,Everything is romantic,Position,,"- strong cadence
- overlay of screenshotted follower growth",Skill,,,,,,,,,,,,,
,,https://www.instagram.com/reels/DUPwRo6CGQb/,212K,12.4K,"spoken: I will open a pilates studio, become a pilates instructor..

text: POV: woman in her 30s changing careers every month

visual: body language adds to text - allows viewer to see themselves in her",Relatable/Comedy,medium intensity,20,deep in thoughts,Nurture,,"- i feel like this would work well in a split screen format
- vocal delivery adds to emotional impact
- "" i should start a youtube channel"" messaging in script speaks directly to previous commentors
- she pinned this comment: Girls, it looks like we should start a business together. But what should it be a Pilates studio, an AI startup, a café, a fashion brand, or an Etsy shop?
- lots of ""this is so me"" comments - reinforcing evidence that viewers are seeing themselves in her
""Ok I thought I have committment issues with work and not stable or don't know what I want in life , so it's universal 😂""
- ladders up to her ""overthinking"" pillar and psychographic",Passions,,,,,,,,,,,,,
,,https://www.instagram.com/natalie.hoffie/reel/DTxqfzDiB02/,29.8K,337,"spoken: closed captioning

text: a 'normal' day of a 30yo woman
closed captioning: i wake up and check my biological clock, then immediately run to the kitchen to cook and clean",Relatable/Comedy,high intensity,57,no backing audio,Nurture,,"- cuts follow her throughout the day helping others see themselves inside her story
- funny, relatable messaging plays on stigma
- controversial topic: sexism
- brief ",Passions,,,,,,,,,,,,,
,,https://www.instagram.com/natalie.hoffie/reel/DTpel8xgKvi/,25.5K,18,"spoken: silent

text: POV: moment right before quitting the 9-5 that drained the life out of you

visual: facial expression of relief, text hook",Silent film / B-roll ,low intensity,4,"houseofyooni ""and when i'm back in chicago""",Attract,"none, she misused the format","- she is stronger with nurture but this text hook matches my creative vision so i'm including it
- low int... her facial expression and the text hook carry the video. not a whole lot to add otherwise.",Lifestyle,,,,,,,,,,,,,
@renxriley,17.6K,https://www.instagram.com/reel/DRufpDADfEf/,"875,764",10.7K,"spoken: post your spotify wrapped, don't listen to the haters

text: POST YOUR SPOTIFY WRAPPED

visual: medium shot her talking in her kitchen, low exposure. slight cinematic feel",Talking head,low intensity,39,no backing audio,Nurture,post your spotify wrapped,"- lots of movement
- comments indicate viewers strongly resonate with her - and ""post it, i want to judge you, not in a mean way, in a loving way""
- uses repetition",Lifestyle,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DRShtnZiddM/,"552,403","6,761","text: safetynetholic

visual: actually the same medium shot as the one above, of her in her kitchen, low exposure, focused on her, slight cinametic feel
she's dancing to the song safety net by ariana grande",Silent film / B-roll ,low,15,ariana grande - safety net,Nurture,N/A,"- flowing with the music
- ariana grande fans showed up in the comments, omg",Lifestyle,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DSBJsjSiWx2/,"460,230",15.3K,"spoken: we're going to do this before we make our 2026 vision board

text: do this before you make your vision board

visual: she is centered in frame, it's not the same location as the two above, but still low exposure with a slight cinamatic feel",Talking head,medium to high,106,no backing audio,Position,N/A,"- contrarian view: self reflection is a building block to vision boards 
- very value loaded with an easy to follow checklist, strong vocal deliery
- sound fx enhance video
- she is centered in the frame",Mindset,,,,,,,,,,,,,
